0,名称,年份,国家,类型,导演,评价人数,评分
140,哈利·波特与死亡圣器(下),2011,美国 英国,剧情 悬疑 奇幻 冒险, 大卫·叶茨 David Yates,307883,8.7
141,7号房的礼物,2013,韩国,剧情 喜剧 家庭, 李焕庆 Hwan-kyeong Lee,202495,8.7
142,燃情岁月,1994,美国,剧情 爱情 西部 家庭, 爱德华·兹威克 Edward Zwick,159853,8.7
143,虎口脱险,1966,法国 英国,喜剧 战争, 杰拉尔·乌里 Gérard Oury,116937,8.9
144,萤火之森,2011,日本,剧情 爱情 动画 奇幻, 大森贵弘 Takahiro Omori,183741,8.8
145,心迷宫,2014,中国大陆,剧情 犯罪 悬疑, 忻钰坤 Yukun Xin,206414,8.6
146,请以你的名字呼唤我,2017,意大利 法国 巴西 美国,剧情 爱情 同性, 卢卡·圭达尼诺 Luca Guadagnino,207994,8.8
147,傲慢与偏见,2005,法国 英国 美国,剧情 爱情, 乔·怀特 Joe Wright,339238,8.5
148,荒蛮故事,2014,阿根廷 西班牙,剧情 喜剧 犯罪, 达米安·斯兹弗隆 Damián Szifron,165189,8.8
149,海边的曼彻斯特,2016,美国,剧情 家庭, 肯尼斯·罗纳根 Kenneth Lonergan,227233,8.6
150,教父3,1990,美国,剧情 犯罪, 弗朗西斯·福特·科波拉 Francis Ford Coppola,147658,8.8
151,恋恋笔记本,2004,美国,剧情 爱情, 尼克·卡索维茨 Nick Cassavetes,315985,8.5
152,纵横四海,1991,香港,剧情 喜剧 动作 犯罪, 吴宇森 John Woo,167562,8.7
153,超能陆战队,2014,美国,喜剧 动作 科幻 动画 冒险, 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,421245,8.6
154,完美的世界,1993,美国,剧情 犯罪, 克林特·伊斯特伍德 Clint Eastwood,92050,9.0
155,唐伯虎点秋香,1993,香港,喜剧 爱情 古装, 李力持 Lik-Chi Lee,383005,8.4
156,花样年华,2000,香港,剧情 爱情, 王家卫 Kar Wai Wong,274139,8.5
157,玩具总动员3,2010,美国,喜剧 动画 奇幻 冒险, 李·昂克里奇 Lee Unkrich,212342,8.8
